MeV,Weight,Normalized Weight
0.1,12.23929315,0.079910722
0.2,35.48350525,0.2316729
0.3,61.43341502,0.401100661
0.4,86.12252131,0.562296598
0.5,107.5476518,0.702181935
0.6,124.828836,0.81501132
0.8,146.5031764,0.956523757
1,153.1620886,1
1.25,146.509417,0.956564502
1.5,130.2595555,0.850468655
2,89.70194064,0.585666737
3,31.37331155,0.204837319
4,8.884905656,0.058009823
5,2.241389835,0.014634103
6,0.525547249,0.003431314
8,0.025171242,0.000164344
10,0.001073914,7.01162E-06
15,3.07E-07,2.00441E-09
20,7.12E-11,4.64867E-13
30,2.82E-18,1.84119E-20
40,9.03E-26,5.89571E-28
50,2.58E-33,1.68449E-35