KeV,Weights,Norm Weights
8,0,0
9,49.73536278,7.92284E-05
10,238.5495208,0.000380009
11,862.8132977,0.00137446
12,2196.270332,0.003498655
13,4420.964307,0.007042589
14,10421.40312,0.016601279
15,18636.95161,0.029688634
16,37950.48968,0.060455069
17,61393.99747,0.09780054
18,79736.97466,0.127020873
19,100999.1641,0.160891507
20,123616.4965,0.196920881
21,148659.8902,0.236814967
22,176107.6524,0.280539209
23,205516.0089,0.327386674
24,230934.4377,0.36787819
25,255458.3578,0.406944755
26,275529.0111,0.438917274
27,295620.9604,0.470923717
28,312324.5385,0.49753249
29,329444.4456,0.524804475
30,340060.6186,0.541716022
31,350399.9242,0.558186519
32,357774.9053,0.569934852
33,365182.8133,0.581735638
34,368197.4839,0.586538003
35,370174.3253,0.589687108
36,370158.8536,0.589662462
37,369626.3968,0.588814259
38,368456.9322,0.586951304
39,367299.0802,0.585106847
40,363529.2904,0.579101578
41,359420.6743,0.572556559
42,354948.0588,0.56543169
43,350744.5569,0.558735518
44,344701.6915,0.549109243
45,337969.5247,0.538384912
46,333678.8909,0.53154994
47,329295.3548,0.524566974
48,320781.8885,0.511005035
49,312148.3633,0.497251844
50,305174.1673,0.486141961
51,298010.2179,0.474729801
52,290946.9606,0.463478043
53,283748.1728,0.452010386
54,278714.0505,0.443991037
55,273631.5296,0.435894589
56,369343.687,0.588363903
57,465565.0935,0.741644449
58,546765.4408,0.870996473
59,627747.0206,1
60,447779.1827,0.713311522
61,266566.3429,0.424639758
62,240859.4159,0.383688664
63,214937.5622,0.342395193
64,208670.0869,0.332411115
65,201761.7268,0.321406108
66,262349.2987,0.417922013
67,323053.0165,0.514622939
68,263911.8128,0.420411096
69,203208.059,0.323710113
70,172538.2732,0.274853193
71,141902.938,0.226051153
72,135249.5722,0.215452352
73,128072.4682,0.204019237
74,125819.8954,0.200430892
75,123910.8011,0.197389708
76,120084.8679,0.191295003
77,115706.5341,0.184320324
78,112856.0653,0.179779532
79,108417.7112,0.172709241
80,105390.2737,0.167886537
81,100520.3443,0.160128748
82,99818.46531,0.159010656
83,96275.41323,0.153366579
84,92478.71927,0.147318452
85,88651.63192,0.141221908
86,86577.76786,0.137918246
87,84557.14407,0.134699395
88,80892.68974,0.128861925
89,77195.90356,0.122972951
90,74258.49674,0.118293667
91,71242.6721,0.113489463
92,68055.87902,0.108412906
93,64602.08666,0.102911021
94,61854.81207,0.098534617
95,59123.60874,0.094183814
96,56922.92375,0.090678127
97,54747.21795,0.087212231
98,52073.13183,0.082952416
99,49397.68878,0.078690439
100,47153.24848,0.075115049
101,44825.74255,0.071407336
102,42178.37574,0.067190085
103,39190.23514,0.062429982
104,36813.16526,0.058643313
105,34479.26914,0.054925421
106,31734.31846,0.050552719
107,29046.87268,0.046271622
108,26712.97656,0.042553729
109,24240.83606,0.038615613
110,21681.3743,0.034538395
111,19199.43777,0.030584674
112,17341.09087,0.02762433
113,15640.08114,0.024914624
114,13130.99815,0.020917659
115,10419.69907,0.016598564
116,8403.650404,0.013387002
117,6312.050483,0.010055086
118,4253.095729,0.006775175
119,1971.380764,0.003140406
120,669.987145,0.001067288
121,0,0